,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
114,74.6069845529174,67.9401596519229,70.9601933589853,70.7370275514786,60.040158173147105,81.76025677324542,60.990645396150796,72.81972305505529,68.6557731491845,67.5045497572999,68.7071753044852
115,82.45496239786809,69.02313892990409,72.51440109477451,72.32008846682409,71.73617034087809,85.12718762922198,61.35577975434521,73.18369253190819,69.6587561051321,68.683522013935,69.9994174031239
116,83.3474044861474,72.7577058972299,78.1837411266145,77.92352898288019,82.6750768188758,86.1589703155805,62.7180052870675,82.3182959946233,72.29592216351291,73.01049762928709,74.76212872769261
117,85.4721599426165,75.67981257140411,82.6356638683239,82.32050964885661,72.6800939416555,81.11170225457779,63.940513043253496,79.3395245958583,76.77740268727298,76.8820598926517,78.74339102813771
118,48.9750077680605,56.0467238585018,56.426950778210404,56.428647091513994,45.5171628849522,27.091085460861603,57.820577982233,53.7671759558784,53.5876567965802,57.9325373404184,57.7209474934434
119,19.6304068991803,38.6270819376184,38.2359317236334,37.845560460132,19.613204432319897,20.255236879855495,55.129216436788504,27.7622136772118,37.33575851405549,48.66366969441461,45.7518780393665
120,87.47735150261249,76.01944656741898,80.21788906583548,79.8460043856894,78.9462805071657,87.5737209377489,63.164267945000105,72.13393384343449,67.7154255062772,74.7586934802939,76.5029809622837
121,74.0601402902482,62.40497714908361,67.11381940626022,67.0134649746439,65.0881808622855,79.9036514581488,60.077197030993396,63.0010434056494,62.57155095387011,64.8765352707376,65.7684442409105
122,25.783533914152898,51.3949992506984,43.5957918320533,43.221622128864404,55.811734310759,22.518070055265692,55.9061898526354,51.616974808217,51.2474501186438,51.444832346641704,49.4339786576822
123,78.13985259912829,61.36394138213161,64.8740529292128,64.80743940089171,62.0395758304138,70.1504049146867,59.570892529157106,61.547617510964606,61.6288634878025,63.3056294995831,64.02520500544189
124,31.1514284710328,41.632036931582,22.515889942010002,22.3160716127746,55.223990122796295,40.0217750613378,52.08530923904679,42.9254936101609,45.1537329666743,37.70731272368231,32.1691646780186
125,68.6281577483593,62.86089549519521,65.60509292764941,65.9498341559543,57.3286133266173,69.8016148548845,63.3487755767899,61.8434671902619,61.402961564323995,65.666619849536,66.1111213303865
126,62.9231204349936,39.7748281282343,28.434497177325802,26.5323860706032,52.8151491430675,26.501130718858,40.0493128629893,46.3313670302948,46.8647842139476,34.1918374162639,30.702664384393305
127,62.9231204349936,47.687379701882705,42.2891269381214,40.634860192641,53.0466229182147,29.270856609408998,45.906195706004105,52.366108139242705,53.0535567199139,46.466830533134896,44.4198583801898
128,37.902806044586,45.180646010312394,32.6329390659963,30.6598702957507,52.784679733658,39.628207436708095,44.32631235376449,47.9397776284505,49.473057190869206,38.3649985891768,35.5089196400234
129,39.0235529861354,46.7121547326752,39.0924928090752,37.28951176405009,,18.801035739208398,48.418414293033706,39.0020811835287,47.6799072650799,43.774472746649195,41.6219783507298
130,27.506100140004698,34.6488866975974,18.650321185979095,16.875457357118,,21.6880432422693,39.97740941133029,34.7507517630789,43.50672641387071,23.704893050749696,20.5068718078184
131,37.78153156208649,52.9882343873895,50.351097677662004,49.5313972607985,,26.123921886858096,54.0957779767503,53.4933730507162,54.2731091346385,52.66687975328521,51.863589624626506
132,36.1819440026388,49.423339298528994,44.107911684209995,42.602751609809395,,28.7344647517345,50.91060795702911,50.75776186717,50.6927269778306,47.875255613178,46.29500460492121
133,26.5276815164537,43.88920586364049,32.4603242485807,30.4894615392741,,33.9764470108748,43.0122557772612,41.057536108227204,33.7099526919158,38.1740258073209,34.9700331866912
134,44.80412893700551,51.4172912586863,46.9029579676642,45.7433638030003,,33.2925136506016,50.8819410838808,52.59511692107,50.63884915796329,50.1191136380863,48.784853937171604
135,45.7204896579481,53.8908431840209,51.2782539326443,50.5873431460871,,38.9964201931181,51.767111276154395,55.074085935049496,53.68986393057939,53.4528987725945,52.6908899003116
136,34.6259561134781,50.2340240114002,44.7525223247437,43.29856261989801,56.6041623190435,45.046282806779296,48.263384469845896,47.3945390789521,49.278626269975994,48.4549613627215,46.768722430841294
137,39.1948631007119,37.91866686847231,27.5518496346913,25.6508936917191,,28.643919018141695,40.1219464614194,37.515232858499694,36.01243684756321,33.2748126950733,29.8260862908785
138,63.1021999819143,58.3618290239054,58.404165516215706,58.4144263214899,,61.725085391759606,58.344820925056496,58.4136800152719,59.213944350963004,59.1676461281461,59.186746785771895
139,29.4786061234126,35.034098595527894,23.1788200955018,21.299544890177096,,26.2107568226327,39.817328923608606,16.575478295980197,24.11369952833009,28.791371792041996,25.165685811039
140,42.920360937492795,46.4833192022163,37.3578487393708,35.51587413434551,,36.014796186322606,39.316583597711,51.3569203076231,51.822275007955206,42.4798808519784,39.825801270758205
141,31.9117161277642,43.534694980444606,31.763962333003295,29.786064374632602,54.1197973839797,55.5064814444944,34.1855946877167,42.3227835163114,48.0218744777888,37.485210337578394,34.229884641447
142,31.504747560640602,35.5716640618573,18.4269727595528,16.6660169315177,,58.481146288613004,30.808459478661998,36.397761059649,43.916343020599605,23.7237264535687,20.1048291167031
143,39.24659377080479,39.3431136486164,19.1159591878117,17.3478891486085,,58.965174414093894,34.6442674018563,44.2887581158253,42.997758324418605,25.6203014291314,21.664915098713198
144,28.7213859977092,53.955750643102895,49.650804120035296,48.7355525454768,,,52.574192042600096,53.8567803602847,42.2736210117303,52.498565342403495,51.4356188767006
145,82.96868452020131,67.5038507363803,77.48724689616051,78.1460630935563,,75.42449906258268,68.9520923174286,67.2402526945602,72.21450180506609,76.6118662132483,77.4187100247306
146,19.285963589571296,49.57295846110121,39.661108979456095,37.902708901676895,,31.422208079027495,47.7398890509818,44.14675569632309,25.234735479958296,45.06433559542,42.5661604388334
147,78.4899755055422,65.02858420536279,72.0430516023903,75.29825975907198,,82.53809303972518,66.4480980182683,75.69374171416791,77.2094209286137,71.24232122605909,72.11352569972598
148,73.9732540439263,62.7142345152228,67.39018097702622,69.69245251401239,,75.4654461410611,64.1166031040621,66.5409888453024,72.3653001304734,66.99081749999229,67.6395683118059
149,31.1184755296355,53.5556719188,49.139637605711094,45.1145718023065,,31.193504604991304,52.611896273112,43.7407730559879,24.026195324803496,52.1371196485476,50.980420692736
150,40.873049816844095,54.15947683429461,49.3042522510564,45.3338385891734,,35.4925765387639,53.5313028798129,53.008469623281606,51.321594617866495,52.417459399352,51.0956506100155
151,25.113243935036603,49.2459873646305,37.168018049212606,29.8335651104816,,37.360208159753796,47.870316433903895,45.910398546667096,36.135506058264,43.49251644530911,40.1485123799108
152,35.5400864570603,55.2525096039183,51.897533591248795,49.1762427907256,,,55.0714205182559,55.7591047579894,54.3711728762504,54.2586444210545,53.372942149227804
153,36.010474749601,52.6144168125014,44.587125680185004,38.8618134067866,,,49.268685603684204,52.613418148970794,50.10741968076079,48.8790500950626,46.8338271899354
154,45.8142703799405,57.40761742537539,56.494590509008205,55.9352949156073,,,56.8989870324775,57.602158005334395,57.4980137721351,57.6266239089567,57.432269826728
155,38.2112834522383,48.27378947931789,39.2786955106797,37.4941358061907,55.921925130092895,,40.803317294269796,53.1611172473587,51.9196814650416,44.3230436212582,41.9435401401977
156,42.463973171182204,52.8295940331112,48.667070755487,47.658371037102796,57.217360098181494,57.755808857289495,50.0424573488041,56.2836830500607,55.5369959393657,51.541779802855395,50.4721832810645
157,47.177655916197004,56.684751986358,56.6253349849116,56.5242183708261,55.264243623217105,47.1921086558959,56.9680040417023,57.55580206909389,57.6748510520403,57.6928841885431,57.5397543152606
158,29.762543282841495,42.814602056377396,39.3332394222907,37.5632584392006,45.138493426447894,33.9926951822868,46.126193043818795,49.1831279501093,52.5546978859663,44.4764131557537,41.985175152646
159,37.9561268798391,51.0836141759781,50.585659942321996,49.798943429125096,51.3691336734046,34.9018760102715,51.9148496921076,53.4033985426856,54.966927216976,53.045871252266394,52.1588361168505
160,26.323715701858397,34.4957252157811,17.5947716355745,15.864628405787599,30.346748089988697,46.6523274366467,35.11032359184211,24.049830130057998,46.7815160811458,23.629684385746092,19.7831262588628
161,45.1637153991905,56.0616717810889,55.0086770663213,54.765185071851505,54.589805070711606,55.431474365076504,55.748269623795004,54.3400539903753,57.084309258076296,56.423978209146796,56.089833740939795
162,35.88825915516709,45.0248708523726,35.16929909501961,33.284220022628006,47.504873360278204,54.118137557783605,41.8181274084592,36.941441759460204,49.3550566316164,41.206980002299396,38.17996308057769
